ID,ページ,セクション,種別,確定文言,ステータス,備考,最終更新日
TOP-HERO-001,TOP,HERO,ブランドメッセージ,地域に、挑戦と共創の循環を。,確定,正本。Hero.tsxは「地域に、／挑戦と共創の／循環を。」の3行分割で表示（結合すると一致）。Footerタグライン・OGタイトルにも使用,2026-08-20
TOP-ECOSYSTEM-001,TOP,OUR ECOSYSTEM,見出し,3つの事業で、地域に循環をつくる。,確定,正本。EcosystemCircle.tsx h2と一致,2026-08-20
SERVICE-CONCEPT-001,SERVICE,CONCEPT,中心コピー,企業や人に『余白』を。地域に『挑戦』を。,確定,正本。★現行実装に未掲載（EcosystemCircleの円中心は空。該当コピーがサイト上に存在しない）。要反映,2026-08-20
SERVICE-DX-001,SERVICE,DX,事業コピー,忙しさを、余白へ。,確定,正本。service-dx H1・TOP事業・EcosystemCircleと一致,2026-08-20
SERVICE-BPO-001,SERVICE,BPO,事業コピー,人手不足を、多様な働き方へ。,確定,正本。service-bpo H1・TOP事業・EcosystemCircleと一致,2026-08-20
SERVICE-REGION-001,SERVICE,地域プロデュース,事業コピー,地域課題を、挑戦のきっかけへ。,確定,正本。★TOP事業・service-produce H1は一致だが、EcosystemCircle.tsx（PC/モバイル）は「…きっかけに。」で不一致。残置Ecosystem.tsxも「…に。」。要修正,2026-08-20
GOAL-2040-001,共通,2040 GOAL,目標コピー,地域に、240の事業を共創する。,確定,正本。VisionNishio.tsx（地域に、／240／の事業を共創する。）と一致,2026-08-20
SERVICE-DX-LIST-01,SERVICE,DX / サービス名,サービス名,AI・RPA導入支援,確定,確定サービス名リスト。★現行service-dx『できること』は別セット（AI活用支援/AI研修/業務整理・DXコンサルティング/AI・RPA・GASによる業務自動化/Notionなどを使った情報整理/AIエージェント構築）。要整合,2026-08-20
SERVICE-DX-LIST-02,SERVICE,DX / サービス名,サービス名,システム開発・導入支援,確定,確定サービス名リスト。現行実装に同名の項目なし。要整合,2026-08-20
SERVICE-DX-LIST-03,SERVICE,DX / サービス名,サービス名,AI・DXコンサルティング,確定,確定サービス名リスト。現行は「業務整理・DXコンサルティング」。要整合,2026-08-20
SERVICE-DX-LIST-04,SERVICE,DX / サービス名,サービス名,AI研修・ワークショップ,確定,確定サービス名リスト。現行は「AI研修」。要整合,2026-08-20
SERVICE-BPO-LIST-01,SERVICE,BPO / サービス名,サービス名,カスタマーサクセス代行,確定,確定サービス名リスト。★現行service-bpo『支えられる仕事』は別表記（カスタマーサクセス/営業支援/SNS運用/経理・事務/その他）。要整合,2026-08-20
SERVICE-BPO-LIST-02,SERVICE,BPO / サービス名,サービス名,営業・SNS運用支援,確定,確定サービス名リスト。現行は「営業支援」「SNS運用」が別項目。要整合,2026-08-20
SERVICE-BPO-LIST-03,SERVICE,BPO / サービス名,サービス名,経理・事務・その他業務代行,確定,確定サービス名リスト。現行は「経理・事務」「その他」が別項目。要整合,2026-08-20
SERVICE-REGION-LIST-01,SERVICE,地域プロデュース / サービス名,サービス名,西尾筋肉祭り,確定,確定サービス名リスト。現行service-produce/works にも掲載あり,2026-08-20
SERVICE-REGION-LIST-02,SERVICE,地域プロデュース / サービス名,サービス名,西尾働き方図鑑,確定,確定サービス名リスト。現行service-produce/works にも掲載あり,2026-08-20
SERVICE-REGION-LIST-03,SERVICE,地域プロデュース / サービス名,サービス名,地域ベンチャー留学,確定,確定サービス名リスト。★現行実装に未掲載（現行は代わりに「AI活用研究会」を掲載）。要整合,2026-08-20
NAV-GLOBAL-01,共通,グローバルナビ,ラベル,About（私たちについて）,検討中,Nav.tsx,2026-08-20
NAV-GLOBAL-02,共通,グローバルナビ,ラベル,Business（3つの事業）,検討中,Nav.tsx。/#business へ,2026-08-20
NAV-GLOBAL-03,共通,グローバルナビ,ラベル,Works（実績）,検討中,Nav.tsx,2026-08-20
NAV-GLOBAL-04,共通,グローバルナビ,ラベル,People（関わる人たち）,検討中,Nav.tsx,2026-08-20
NAV-GLOBAL-05,共通,グローバルナビ,ラベル,News（お知らせ）,検討中,Nav.tsx,2026-08-20
NAV-GLOBAL-06,共通,グローバルナビ,ボタン,お問い合わせ,検討中,Nav.tsx CTA,2026-08-20
FOOTER-BRAND-01,共通,フッター,タグライン,地域に、挑戦と共創の循環を。,確定,Footer.tsx。TOP-HERO-001と同一（確定）,2026-08-20
FOOTER-INFO-01,共通,フッター,会社情報,正式名称：Moments Share合同会社,検討中,Footer.tsx 会社情報,2026-08-20
FOOTER-INFO-02,共通,フッター,会社情報,所在地：愛知県西尾市,検討中,Footer.tsx,2026-08-20
FOOTER-INFO-03,共通,フッター,会社情報,設立：2025年,検討中,Footer.tsx,2026-08-20
FOOTER-INFO-04,共通,フッター,会社情報,事業：DX支援・BPO・地域プロデュース,検討中,Footer.tsx,2026-08-20
FOOTER-INFO-05,共通,フッター,会社情報,Email：branding@momentsshare.com,検討中,Footer.tsx,2026-08-20
FOOTER-COPY-01,共通,フッター,著作権表示,© 2025 Moments Share合同会社. All rights reserved.,検討中,Footer.tsx,2026-08-20
FOOTER-SNS-01,共通,フッター,SNSリンク,X ／ Instagram ／ note,検討中,"Footer.tsx。x.com/momentsshare_ , instagram.com/momentsshare , note.com/momentsshare",2026-08-20
TOP-HERO-02,TOP,HERO,ラベル,"Moments Share — Nishio, Aichi",検討中,Hero.tsx ラベル,2026-08-20
TOP-HERO-03,TOP,HERO,サブコピー,私たちは、企業に余白をつくり、多様な働き方で人手不足を支え、地域に新しい挑戦を生み出していきます。,検討中,Hero.tsx 説明文,2026-08-20
TOP-HERO-04,TOP,HERO,ボタン,事業を見る →,検討中,Hero.tsx CTA,2026-08-20
TOP-HERO-05,TOP,HERO,ボタン,相談をする →,検討中,Hero.tsx CTA,2026-08-20
TOP-ECOSYSTEM-02,TOP,OUR ECOSYSTEM,ラベル,OUR ECOSYSTEM,検討中,EcosystemCircle.tsx,2026-08-20
